x,y,z,dist
-369.154297,93.171860,-463.582336,603.000000
-369.107697,93.193558,-464.995728,606.000000
-369.014679,93.237663,-467.811768,608.000000
-368.968170,93.259148,-469.219849,609.000000
-368.921631,93.279861,-470.627930,610.000000
-368.874939,93.299751,-472.036163,615.000000
-368.734497,93.355629,-476.265839,616.000000
-368.687622,93.373375,-477.674286,617.000000
-368.640564,93.391266,-479.087311,619.000000
-368.593414,93.409592,-480.501251,620.000000
-368.454224,93.467720,-484.683838,624.000000
-368.408844,93.487289,-486.056122,626.000000
-368.363647,93.506096,-487.417877,627.000000
-368.318695,93.524315,-488.769073,631.000000
-368.185181,93.582916,-492.760132,634.000000
-368.097412,93.622398,-495.370728,635.000000
-368.054108,93.640465,-496.655792,639.000000
-367.841919,93.716354,-502.918457,642.000000
-367.800446,93.728218,-504.137177,647.000000
-367.597809,93.778069,-510.061371,650.000000
-367.558075,93.788399,-511.212006,651.000000
-367.518250,93.798973,-512.354248,653.000000
-367.397247,93.831642,-515.714661,655.000000
-367.355865,93.842323,-516.810181,656.000000
-367.313599,93.853043,-517.894714,659.000000
-367.183167,93.886269,-521.082886,661.000000
-367.094269,93.909660,-523.158569,663.000000
-367.004639,93.933586,-525.188721,666.000000
-366.914734,93.957054,-527.183472,666.000000
-366.825623,93.979759,-529.135742,669.000000
-366.737640,93.999832,-531.050720,671.000000
-366.565857,94.032753,-534.778259,674.000000
-366.523956,94.040405,-535.686096,678.000000
-366.359833,94.070717,-539.230042,679.000000
-366.279938,94.086876,-540.943481,682.000000
-366.162659,94.112282,-543.445557,683.000000
-366.048584,94.137733,-545.864807,685.000000
-366.011139,94.146111,-546.655457,687.000000
-365.829895,94.187401,-550.469360,690.000000
-365.794647,94.195595,-551.208923,693.000000
-365.623199,94.235245,-554.774414,694.000000
-365.588776,94.243004,-555.464844,696.000000
-365.404449,94.279655,-558.830872,698.000000
-365.363251,94.286713,-559.483154,699.000000
-365.227448,94.307480,-561.402954,701.000000
-365.120972,94.320755,-562.679565,702.000000
-365.064606,94.327034,-563.294556,703.000000
-364.874329,94.344757,-565.106506,705.000000
